Lucy Data Summary 20240120 13:17:21
 
Sample Name,Comments,DIC flag,TA flag,Analysis Type,Date (analysis),Time (analysis),Station,Cast,Niskin,Replicate (diff bottle),Repeat(same bottle),No. Of Repeats,Depth (m),CTD Temp (°C),Salinity,Phosphate (uMol/Kg),Silicate (uMol/Kg),Nitrate (uMol/Kg),DIC pipette volume (ml),DIC set end point (cpm),DIC pipette temp sample (°C),DIC background (cpm),DIC total time (s),DIC total counts,DIC cell Number (sequential),Sample Bottle temp (°C),TA pipette vol (ml),TA cell temp (°C),TA Acid Batch,TA Acid conc (Mol),TA Acid density (Kg/l)
9999_20240203_6_0_1_2, ,-999,-999,1,20240204,015613,9999,20240203,6,1,2,5,0,0,35,0,0,-999,21.8442,50,0,8,667,238047,11,24.6,96.7556,-999,-999,-999,-999
9999_20240203_6_0_1_3, ,-999,-999,1,20240204,021254,9999,20240203,6,1,3,5,0,0,35,0,0,-999,21.8442,50,0,47,507,237797,11,24.58,96.7556,-999,-999,-999,-999
9999_20240203_6_0_1_4, ,-999,-999,1,20240204,022711,9999,20240203,6,1,4,5,0,0,35,0,0,-999,21.8442,50,0,57,363,237653,11,24.53,96.7556,-999,-999,-999,-999
9999_20240203_6_0_1_5, ,-999,-999,1,20240204,024232,9999,20240203,6,1,5,5,0,0,35,0,0,-999,21.8442,50,0,36,426,237662,11,24.6,96.7556,-999,-999,-999,-999
9999_20240203_7_0_1_1, ,-999,-999,3,20240204,031110,9999,20240203,7,1,1,2,0,0,35,0,0,-999,21.8442,50,0,39,347,238262,11,24.54,96.7556,24.89,-999,-999,-999
9999_20240203_7_0_1_2, ,-999,-999,3,20240204,033738,9999,20240203,7,1,2,2,0,0,35,0,0,-999,21.8442,50,0,43,714,238425,11,24.67,96.7556,24.95,-999,-999,-999
9999_20240203_8_0_1_1, ,-999,-999,3,20240204,040444,9999,20240203,8,1,1,2,0,0,35,0,0,-999,21.8442,50,0,43,673,238077,11,24.44,96.7556,24.94,-999,-999,-999
9999_20240203_8_0_1_2, ,-999,-999,3,20240204,043113,9999,20240203,8,1,2,2,0,0,35,0,0,-999,21.8442,50,0,44,547,237875,11,24.53,96.7556,24.94,-999,-999,-999
8888_0208_1045_0_1_1, ,-999,-999,3,20240204,050936,8888,0208,1045,1,1,2,0,0,35,0,0,-999,21.8442,50,0,51,660,223141,11,24.19,96.7556,24.79,-999,-999,-999
8888_0208_1045_0_1_2, ,-999,-999,3,20240204,053627,8888,0208,1045,1,2,2,0,0,35,0,0,-999,21.8442,50,0,42,453,223010,11,24.45,96.7556,24.89,-999,-999,-999
3333_202402032231_1_7_1_1, ,-999,-999,3,20240204,060555,3333,202402032231,1,1,1,1,7,0,35,0,0,-999,21.8442,50,0,42,645,219028,11,24.26,96.7556,24.88,-999,-999,-999
3333_202402032231_1_7_2_1, ,-999,-999,3,20240204,063348,3333,202402032231,1,2,1,1,7,0,35,0,0,-999,21.8442,50,0,46,520,218643,11,24.31,96.7556,24.94,-999,-999,-999
3333_202402040422_1_7_1_1, ,-999,-999,3,20240204,071627,3333,202402040422,1,1,1,1,7,0,35,0,0,-999,21.8442,50,0,20,363,228005,11,24.28,96.7556,24.8,-999,-999,-999
3333_202402040422_1_7_2_1, ,-999,-999,3,20240204,074341,3333,202402040422,1,2,1,1,7,0,35,0,0,-999,21.8442,50,0,41,486,228399,11,24.22,96.7556,24.94,-999,-999,-999
9999_20240204_8_0_1_1, ,-999,-999,3,20240204,083230,9999,20240204,8,1,1,1,0,0,35,0,0,-999,21.8442,50,0,0,357,238259,11,24.38,96.7556,24.89,-999,-999,-999
9999_20240204_9_0_1_1, ,-999,-999,3,20240204,090608,9999,20240204,9,1,1,1,0,0,35,0,0,-999,21.8442,50,0,39,730,240454,11,24.57,96.7556,24.94,-999,-999,-999
0000_054_23_2_1_1, ,-999,-999,3,20240204,093337,0000,054,23,1,1,1,2,0,35,0,0,-999,21.8442,50,0,48,764,229585,11,24.24,96.7556,24.89,-999,-999,-999
0000_054_22_7_1_1, ,-999,-999,3,20240204,100055,0000,054,22,1,1,1,7,0,35,0,0,-999,21.8442,50,0,39,436,232722,11,24.33,96.7556,24.89,-999,-999,-999
0000_054_21_13_1_1, ,-999,-999,3,20240204,102917,0000,054,21,1,1,1,13,0,35,0,0,-999,21.8442,50,0,27,796,237302,11,24.29,96.7556,24.89,-999,-999,-999
0000_054_20_13_1_1, ,-999,-999,3,20240204,111356,0000,054,20,1,1,1,13,0,35,0,0,-999,21.8442,50,0,33,314,236924,11,24.21,96.7556,24.89,-999,-999,-999
0000_054_19_22_1_1, ,-999,-999,3,20240204,114506,0000,054,19,1,1,1,22,0,35,0,0,-999,21.8442,50,0,48,586,239420,11,24.19,96.7556,24.89,-999,-999,-999
0000_054_17_35_1_1, ,-999,-999,3,20240204,121233,0000,054,17,1,1,1,35,0,35,0,0,-999,21.8442,50,0,38,697,240272,11,24.39,96.7556,24.85,-999,-999,-999
0000_054_15_52_1_1, ,-999,-999,3,20240204,124229,0000,054,15,1,1,1,52,0,35,0,0,-999,21.8442,50,0,22,550,241050,11,24.29,96.7556,24.8,-999,-999,-999
0000_054_14_78_1_1, ,-999,-999,3,20240204,130915,0000,054,14,1,1,1,78,0,35,0,0,-999,21.8442,50,0,0,488,241298,11,24.12,96.7556,24.78,-999,-999,-999
0000_054_13_100_1_1, ,-999,-999,3,20240204,133608,0000,054,13,1,1,1,100,0,35,0,0,-999,21.8442,50,0,36,764,241755,11,24.19,96.7556,24.89,-999,-999,-999
0000_054_12_140_1_1, ,-999,-999,3,20240204,140420,0000,054,12,1,1,1,140,0,35,0,0,-999,21.8442,50,0,20,481,241619,11,24.27,96.7556,24.89,-999,-999,-999
